date2,match_number,gender,player_of_match,season,winner_wickets,team1,city,match_referee,neutralvenue,event,team2,umpire2,method,outcome,venue,tv_umpire,reserve_umpire,winner,toss_decision,toss_winner,umpire1,date1,winner_runs,balls_per_over,date,eliminator,matchId
,1,male,Yuvraj Singh,2017,,Sunrisers Hyderabad,Hyderabad,J Srinath,,Indian Premier League,Royal Challengers Bangalore,NJ Llong,,,"Rajiv Gandhi International Stadium, Uppal",A Deshmukh,N Pandit,Sunrisers Hyderabad,field,Royal Challengers Bangalore,AY Dandekar,,35,6,2017-04-05,,1082591
,2,male,SPD Smith,2017,7,Rising Pune Supergiant,Pune,M Nayyar,,Indian Premier League,Mumbai Indians,S Ravi,,,Maharashtra Cricket Association Stadium,VK Sharma,Navdeep Singh,Rising Pune Supergiant,field,Rising Pune Supergiant,A Nand Kishore,,,6,2017-04-06,,1082592
,3,male,CA Lynn,2017,10,Gujarat Lions,Rajkot,V Narayan Kutty,,Indian Premier League,Kolkata Knight Riders,CK Nandan,,,Saurashtra Cricket Association Stadium,YC Barde,K Srinivasan,Kolkata Knight Riders,field,Kolkata Knight Riders,Nitin Menon,,,6,2017-04-07,,1082593
,4,male,GJ Maxwell,2017,6,Kings XI Punjab,Indore,Chinmay Sharma,,Indian Premier League,Rising Pune Supergiant,C Shamshuddin,,,Holkar Cricket Stadium,KN Ananthapadmanabhan,R Pandit,Kings XI Punjab,field,Kings XI Punjab,AK Chaudhary,,,6,2017-04-08,,1082594
,5,male,KM Jadhav,2017,,Royal Challengers Bangalore,Bengaluru,J Srinath,,Indian Premier League,Delhi Daredevils,VK Sharma,,,M.Chinnaswamy Stadium,A Nand Kishore,Navdeep Singh,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,S Ravi,,15,6,2017-04-08,,1082595
,6,male,Rashid Khan,2017,9,Sunrisers Hyderabad,Hyderabad,M Nayyar,,Indian Premier League,Gujarat Lions,NJ Llong,,,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar,N Pandit,Sunrisers Hyderabad,field,Sunrisers Hyderabad,A Deshmukh,,,6,2017-04-09,,1082596
,7,male,N Rana,2017,4,Mumbai Indians,Mumbai,S Chaturvedi,,Indian Premier League,Kolkata Knight Riders,CK Nandan,,,Wankhede Stadium,YC Barde,K Srinivasan,Mumbai Indians,field,Mumbai Indians,Nitin Menon,,,6,2017-04-09,,1082597
,8,male,AR Patel,2017,8,Kings XI Punjab,Indore,Chinmay Sharma,,Indian Premier League,Royal Challengers Bangalore,C Shamshuddin,,,Holkar Cricket Stadium,KN Ananthapadmanabhan,R Pandit,Kings XI Punjab,bat,Royal Challengers Bangalore,AK Chaudhary,,,6,2017-04-10,,1082598
,9,male,SV Samson,2017,,Rising Pune Supergiant,Pune,J Srinath,,Indian Premier League,Delhi Daredevils,S Ravi,,,Maharashtra Cricket Association Stadium,A Nand Kishore,Navdeep Singh,Delhi Daredevils,field,Rising Pune Supergiant,AY Dandekar,,97,6,2017-04-11,,1082599
,10,male,JJ Bumrah,2017,4,Mumbai Indians,Mumbai,M Nayyar,,Indian Premier League,Sunrisers Hyderabad,CK Nandan,,,Wankhede Stadium,YC Barde,K Srinivasan,Mumbai Indians,field,Mumbai Indians,Nitin Menon,,,6,2017-04-12,,1082600
,11,male,SP Narine,2017,8,Kolkata Knight Riders,Kolkata,AJ Pycroft,,Indian Premier League,Kings XI Punjab,NJ Llong,,,Eden Gardens,AY Dandekar,N Pandit,Kolkata Knight Riders,field,Kolkata Knight Riders,A Deshmukh,,,6,2017-04-13,,1082601
,12,male,KA Pollard,2017,4,Royal Challengers Bangalore,Bangalore,Chinmay Sharma,,Indian Premier League,Mumbai Indians,AK Chaudhary,,,M Chinnaswamy Stadium,C Shamshuddin,R Pandit,Mumbai Indians,field,Mumbai Indians,KN Ananthapadmanabhan,,,6,2017-04-14,,1082602
,13,male,AJ Tye,2017,7,Gujarat Lions,Rajkot,J Srinath,,Indian Premier League,Rising Pune Supergiant,S Ravi,,,Saurashtra Cricket Association Stadium,VK Sharma,Navdeep Singh,Gujarat Lions,field,Gujarat Lions,A Nand Kishore,,,6,2017-04-14,,1082603
,14,male,RV Uthappa,2017,,Kolkata Knight Riders,Kolkata,AJ Pycroft,,Indian Premier League,Sunrisers Hyderabad,NJ Llong,,,Eden Gardens,A Deshmukh,N Pandit,Kolkata Knight Riders,field,Sunrisers Hyderabad,AY Dandekar,,17,6,2017-04-15,,1082604
,15,male,CJ Anderson,2017,,Delhi Daredevils,Delhi,S Chaturvedi,,Indian Premier League,Kings XI Punjab,Nitin Menon,,,Feroz Shah Kotla,CK Nandan,K Srinivasan,Delhi Daredevils,bat,Delhi Daredevils,YC Barde,,51,6,2017-04-15,,1082605
,16,male,N Rana,2017,6,Mumbai Indians,Mumbai,M Nayyar,,Indian Premier League,Gujarat Lions,S Ravi,,,Wankhede Stadium,VK Sharma,Navdeep Singh,Mumbai Indians,field,Mumbai Indians,A Nand Kishore,,,6,2017-04-16,,1082606
,17,male,BA Stokes,2017,,Royal Challengers Bangalore,Bangalore,Chinmay Sharma,,Indian Premier League,Rising Pune Supergiant,C Shamshuddin,,,M Chinnaswamy Stadium,AK Chaudhary,R Pandit,Rising Pune Supergiant,field,Royal Challengers Bangalore,KN Ananthapadmanabhan,,27,6,2017-04-16,,1082607
